feature,category,mean_abs_shap_rev,mean_abs_shap_cog,lgb_gain_rev,lgb_split_rev
promo_fall_launch_since,Khuyến Mãi,0.0010420955108842386,0.0017877893223416134,6.199441999197006,43
is_weekend,Lịch Cơ Bản,0.000978218269859402,0.0008042685542846294,3.8393492996692657,20
is_q3,Lịch Cơ Bản,0.0009412876544554919,0.005051169203604008,6.964201729744673,12
promo_mid_year_since,Khuyến Mãi,0.0007988157875906648,0.0010452386195473078,7.018784232437611,38
regime_2019,Xu Hướng & Chế Độ,0.0007893282999202749,0.0004972961861895816,6.828446593135595,36
promo_rural_special_until,Khuyến Mãi,0.000712230273990417,0.0009455848555790817,3.9262317530810833,36
tet_in_14,Lễ Tết,0.0007071657904879848,0.0006208455981271096,1.3738701045513153,15
is_last2,EOM/Ngày Lương,0.0006058670151647016,0.0002578452061892436,10.614508002996445,6
is_eom_payday,EOM/Ngày Lương,0.0004613876713545421,0.0004039592458692423,5.610791716724634,24
promo_rural_special_since,Khuyến Mãi,0.0004420256653455962,0.00020440666873297047,2.3266305904835463,36
tet_post_recovery,Lễ Tết,0.00023776601189607144,0.0001425827850978308,0.771415600553155,17
tet_before_7,Lễ Tết,0.00020833828705485484,0.000296636590207568,0.42798419296741486,10
promo_spring_sale_until,Khuyến Mãi,0.00020610672290345773,0.0006397161736303648,2.652085579931736,10
promo_spring_sale,Khuyến Mãi,0.00019055562373965494,1.4052239692774396e-05,1.9675639867782593,3
promo_mid_year,Khuyến Mãi,0.0001581341597450164,2.0289247214296145e-05,1.278756007552147,2
promo_spring_sale_since,Khuyến Mãi,0.00012159133914324167,0.0002631441375933427,0.7352886982262135,8
is_first2,EOM/Ngày Lương,0.00011332029276752041,0.0,0.43919599056243896,2
promo_fall_launch,Khuyến Mãi,7.305966691773949e-05,0.00012301597242931096,0.045100100338459015,1
promo_year_end,Khuyến Mãi,6.851410926170598e-05,0.0,0.26934701204299927,1
is_first1,EOM/Ngày Lương,5.494759419350241e-05,4.2735309630437104e-05,0.12812699377536774,1
is_last1,EOM/Ngày Lương,4.9525289756257905e-05,5.936305527452884e-05,0.04822779819369316,1
promo_rural_special,Khuyến Mãi,3.5777496525713496e-05,4.7298015812650716e-05,0.14570599794387817,1
regime_post2019,Xu Hướng & Chế Độ,2.5985006584042745e-05,0.0,0.06996030360460281,1
tet_in_7,Lễ Tết,2.2598374692851212e-05,3.76093381232781e-05,0.06215839833021164,1
is_first3,EOM/Ngày Lương,0.0,3.407330322521386e-05,0.0,0
regime_pre2019,Xu Hướng & Chế Độ,0.0,0.0,0.0,0
is_last3,EOM/Ngày Lương,0.0,0.0,0.0,0
hol_national_day,Ngày Lễ Cố Định,0.0,0.0,0.0,0
hol_reunification,Ngày Lễ Cố Định,0.0,0.0,0.0,0
hol_new_year,Ngày Lễ Cố Định,0.0,0.0,0.0,0
hol_labor_day,Ngày Lễ Cố Định,0.0,0.0,0.0,0
hol_womens_day,Ngày Lễ Cố Định,0.0,0.0,0.0,0
hol_hung_kings,Ngày Lễ Cố Định,0.0,0.0,0.0,0
tet_on,Lễ Tết,0.0,0.0,0.0,0
tet_after_7,Lễ Tết,0.0,1.5861420167426286e-05,0.0,0
hol_vn_womens_day,Ngày Lễ Cố Định,0.0,0.0,0.0,0
hol_dd_1111,Ngày Lễ Cố Định,0.0,0.0,0.0,0
hol_dd_1212,Ngày Lễ Cố Định,0.0,0.0,0.0,0
hol_christmas_eve,Ngày Lễ Cố Định,0.0,0.0,0.0,0
hol_christmas,Ngày Lễ Cố Định,0.0,0.0,0.0,0
promo_spring_sale_disc,Khuyến Mãi,0.0,0.0,0.0,0
promo_fall_launch_disc,Khuyến Mãi,0.0,0.0,0.0,0
promo_mid_year_disc,Khuyến Mãi,0.0,0.0,0.0,0
hol_black_friday,Ngày Lễ Cố Định,0.0,0.0,0.0,0
promo_year_end_disc,Khuyến Mãi,0.0,0.0,0.0,0
promo_urban_blowout_disc,Khuyến Mãi,0.0,0.0,0.0,0
promo_rural_special_disc,Khuyến Mãi,0.0,0.0,0.0,0
is_q1,Lịch Cơ Bản,0.0,0.0,0.0,0
is_q4,Lịch Cơ Bản,0.0,2.5428269704203423e-05,0.0,0
